Flight_Distance_KM,Aircraft_Capacity,Aircraft_Age_Years,Passengers,Load_Factor,Flight_Hours,Competition_Index,Weather_Disruption,On_Time_Performance,Delay_Minutes,Average_Ticket_Price,Fuel_Price_Per_Liter,Passenger_Satisfaction_Score,Market_Share_Pct,price_per_km,delay_flag,flight_month,is_weekend,is_narrow_body,load_revenue_ratio,Season_Ordinal,Demand_Ordinal,season_sin,season_cos,Route_Category_Medium Haul,Route_Category_Short Haul,Alliance_OneWorld,Alliance_SkyTeam,Alliance_Star Alliance,origin_region_Europe,origin_region_Middle_East,origin_region_North_America,origin_region_Oceania,dest_region_Asia,dest_region_Europe,dest_region_Middle_East,dest_region_North_America,dest_region_Oceania,dest_region_Other,dest_region_South_America
8.513385953073284,296,11.0,296.0,1.0,6.5,4.0,0,65.4,0.0,6.863740693562717,0.831846356929041,8.3,23.0,0.7214824172402463,0,8,0,0,0.7214824172402463,3,2,-1.0,-1.8369701987210297e-16,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8.54110501146255,296,11.0,246.0,0.8336,6.5,3.0,0,73.8,0.0,6.962584315260815,0.7204324575412968,8.0,31.0,0.7297461150355293,0,12,0,0,0.6083163614936172,3,1,-1.0,-1.8369701987210297e-16,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
8.94910546953925,325,1.0,254.0,0.7831,9.6,7.0,0,81.9,0.0,6.271479804498731,0.7084441560674152,8.5,6.8,0.6303561484698149,0,9,0,0,0.4936318998667121,2,1,1.2246467991473532e-16,-1.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
9.116139576577355,325,1.0,239.0,0.7367,11.6,2.0,0,95.2,2.302585092994046,6.458902387530985,0.6834994902512419,8.6,18.7,0.6384750169408258,0,4,0,0,0.47036454498030633,2,1,1.2246467991473532e-16,-1.0,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
9.564582358673212,296,20.0,161.0,0.5471,17.6,3.0,0,87.2,3.970291913552122,7.058792545736325,0.8124054823357286,8.3,28.3,0.6681563270640096,0,1,0,0,0.3655483265367197,0,0,0.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
8.513385953073284,277,10.0,167.0,0.6034,6.7,6.0,0,81.3,0.0,5.9631679479528685,0.7204324575412968,7.6,8.2,0.6268186718553637,0,2,1,0,0.37822238659752644,0,0,0.0,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9.051461866908694,517,19.0,422.5,0.8903,10.4,4.0,0,74.7,0.0,6.772656945060354,0.6897972446024827,8.8,10.0,0.6737982031605986,0,10,0,0,0.5998825402738809,2,2,1.2246467991473532e-16,-1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
7.039660349862076,180,14.0,152.0,0.8457,2.2,4.0,0,55.1,2.4849066497880004,5.65027620713306,0.7909514793611544,8.3,25.5,0.7028003623598345,0,10,1,1,0.594358266447712,2,1,1.2246467991473532e-16,-1.0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
8.648396877031582,325,18.0,253.0,0.7796,7.7,2.0,0,74.0,2.4849066497880004,6.381054306057856,0.6699654363339054,8.6,3.7,0.6613590202998622,0,3,0,0,0.5155954922257725,1,1,1.0,6.123233995736766e-17,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
8.960724500330858,325,5.0,220.0,0.6785,10.0,8.0,0,75.3,2.302585092994046,6.810043216966773,0.654853295312316,8.3,5.5,0.6836895465526196,0,7,0,0,0.4638833573359524,3,1,-1.0,-1.8369701987210297e-16,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
8.560444233410552,396,21.0,379.0,0.9593,7.0,3.0,0,82.0,2.8903717578961645,6.772656945060354,0.7439448793713539,8.7,27.3,0.7084040008718617,0,12,1,0,0.6795719580363769,3,2,-1.0,-1.8369701987210297e-16,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
7.450660796211539,277,20.0,182.0,0.6589,3.0,8.0,0,95.9,0.0,5.443456132214275,0.7526859417489167,7.0,12.4,0.6441456193170829,0,9,1,0,0.42442754856802595,2,1,1.2246467991473532e-16,-1.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
9.638935897473202,517,2.0,422.5,0.9486,18.8,1.0,0,70.1,0.0,7.923605332077297,0.5929926907900159,9.4,24.5,0.7447742338553982,0,12,1,0,0.7064928382352308,3,2,-1.0,-1.8369701987210297e-16,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
8.564267598802166,296,14.0,218.0,0.737,6.9,2.0,0,80.6,0.0,6.397446188456547,0.6747925990912415,8.3,13.8,0.6688903381642904,0,5,0,0,0.49297217922708203,2,1,1.2246467991473532e-16,-1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
